street_name,date,total_vol_l3,total_weight_kg
broughton street,2016-06-12,98.307568,6.88153
broughton street,2016-06-13,53.154894,3.720843
broughton street,2016-06-14,63.187106,4.423097
broughton street,2016-06-18,99.431905,6.960233
broughton street,2016-06-19,86.123785,6.028665
broughton street,2016-06-21,67.835067,4.748455
broughton street,2016-06-25,99.621103,6.973477
broughton street,2016-06-27,100,7
broughton street,2016-06-29,80.188066,5.613165
broughton street,2016-07-02,89.073467,6.235143
broughton street,2016-07-04,84.368986,5.905829
broughton street,2016-07-05,156.34871,10.94441
broughton street,2016-07-07,94.723875,6.630671
broughton street,2016-07-10,99.642524,6.974977
broughton street,2016-07-11,36.726565,2.57086
broughton street,2016-07-12,26.731011,1.871171
broughton street,2016-07-15,145.577855,10.19045
broughton street,2016-07-16,70.866521,4.960656
broughton street,2016-07-19,100,7
broughton street,2016-07-23,99.664745,6.976532
broughton street,2016-07-26,90.6744,6.347208
broughton street,2016-07-29,95.412598,6.678882
broughton street,2016-07-31,98.245521,6.877186
broughton street,2016-08-03,98.353307,6.884732
broughton street,2016-08-06,98.196144,6.87373
broughton street,2016-08-07,100,7
broughton street,2016-08-09,100,7
brunswick place,2016-06-05,172.786806,12.095077
brunswick place,2016-06-07,55.707593,3.899532
brunswick place,2016-06-14,97.636924,6.834585
brunswick place,2016-06-17,81.904604,5.733322
brunswick place,2016-06-18,56.294907,3.940643
brunswick place,2016-06-21,95.418687,6.679308
brunswick place,2016-06-24,99.52322,6.966625
brunswick place,2016-06-25,91.919209,6.434345
brunswick place,2016-06-28,99.985243,6.998967
brunswick place,2016-07-03,177.337707,12.413639
brunswick place,2016-07-04,97.10863900000001,6.797604
brunswick place,2016-07-07,89.064361,6.234505
brunswick place,2016-07-09,68.679894,4.807593
brunswick place,2016-07-10,100,7
brunswick place,2016-07-11,55.595666,3.891697
brunswick place,2016-07-14,82.249202,5.757444
brunswick place,2016-07-17,86.244556,6.037119
brunswick place,2016-07-19,48.528406,3.396988
brunswick place,2016-07-23,100,7
brunswick place,2016-07-28,97.656283,6.83594
brunswick place,2016-07-31,99.954307,6.996801
calton hill,2016-07-06,1357.765069,95.043554
calton hill,2016-07-08,554.573679,38.820158
calton hill,2016-07-09,1308.907523,91.62352700000001
calton hill,2016-07-11,1176.61605,82.363123
calton hill,2016-07-14,1048.212993,73.37491
calton hill,2016-07-16,866.789037,60.675233000000006
calton hill,2016-07-17,1146.348166,80.244371
calton hill,2016-07-19,1505.953678,105.416756
calton hill,2016-07-20,909.610319,63.672722
calton hill,2016-07-22,1509.5057470000002,105.665403
calton hill,2016-07-24,646.405208,45.248365
calton hill,2016-07-25,240,16.8
calton hill,2016-07-28,952.486771,66.674074
calton hill,2016-07-29,1043.295063,73.030654
calton hill,2016-07-30,661.01655,46.271158
calton hill,2016-07-31,662.124136,46.348689
calton hill,2016-08-01,396.54351199999996,27.758046
calton hill,2016-08-02,1531.857544,107.230027
calton hill,2016-08-04,871.720832,61.020458
calton hill,2016-08-06,1240.336244,86.823536
calton hill,2016-08-08,236.969621,16.587873
calton road,2016-06-05,227.213247,15.904927
calton road,2016-06-12,231.726285,16.22084
calton road,2016-06-16,203.304763,14.231333
calton road,2016-06-18,225.960653,15.817246
calton road,2016-06-19,121.371793,8.496025
calton road,2016-06-21,101.004691,7.070328
calton road,2016-06-27,239.968795,16.797816
calton road,2016-06-29,149.788628,10.485204
calton road,2016-07-04,240,16.8
calton road,2016-07-06,205.267403,14.368718
calton road,2016-07-09,204.461776,14.312324
calton road,2016-07-13,230.661049,16.146273
calton road,2016-07-16,233.23275,16.326292
calton road,2016-07-17,97.603115,6.832218
calton road,2016-07-20,227.370408,15.915929
calton road,2016-07-23,218.352888,15.284702
calton road,2016-07-28,239.900838,16.793059
calton road,2016-07-29,116.369627,8.145874
calton road,2016-08-02,208.038763,14.562713
calton road,2016-08-05,208.295879,14.580712
calton road,2016-08-07,210.651264,14.745589
canongate,2016-06-03,466.863843,32.680469
canongate,2016-06-04,842.017036,58.941193
canongate,2016-06-05,385.877,27.011391
canongate,2016-06-06,771.961843,54.037327
canongate,2016-06-07,221.099531,15.476968
canongate,2016-06-08,1017.598548,71.231899
canongate,2016-06-10,291.852223,20.429655
canongate,2016-06-11,244.735547,17.131488
canongate,2016-06-12,995.634999,69.69444899999999
canongate,2016-06-13,211.700214,14.819015
canongate,2016-06-14,375.259369,26.268155
canongate,2016-06-16,243.18217099999998,17.022752
canongate,2016-06-17,1031.810549,72.226738
canongate,2016-06-18,95.105347,6.657374
canongate,2016-06-19,424.295505,29.700685
canongate,2016-06-20,156.859203,10.980145
canongate,2016-06-21,1005.3905129999999,70.377337
canongate,2016-06-22,578.9963379999999,40.529744
canongate,2016-06-23,177.396393,12.417748
canongate,2016-06-24,699.72705,48.980893
canongate,2016-06-26,1123.833123,78.66832
canongate,2016-06-27,252.755044,17.692853
canongate,2016-06-28,696.669343,48.766854
